time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1523504416.18673491,0.05186978,6687,0.00222673,0.00000000,0,0.00000000,1791,2931,1436,0.00000000
1523504416.28759789,0.04733052,6727,0.00147913,0.00000000,0,0.00000000,2931,3727,1106,0.00330147
1523504416.38845396,0.05995814,6763,0.00179066,0.00000000,0,0.00000000,3727,4322,974,0.00234334
1523504416.48931003,0.06233607,6819,0.00099824,0.00000000,0,0.00000000,4078,4828,867,0.00177607
1523504416.59016299,0.06002228,6858,0.00125494,0.00000000,0,0.00000000,4828,5218,762,0.00376429
1523504416.69102097,0.04663442,6934,0.00097654,0.00000000,0,0.00000000,5218,5685,671,0.00488414
1523504416.79188108,0.05822826,6987,0.00100303,0.00000000,0,0.00000000,5685,6027,620,0.00122773
1523504416.89274406,0.06467866,7046,0.00094775,0.00000000,0,0.00000000,6027,6215,544,0.00115365
1523504416.99360204,0.07916438,7110,0.00089308,0.00000000,0,0.00000000,6215,6486,537,0.00067684
1523504417.09446001,0.05001777,7193,0.00103502,0.00000000,0,0.00000000,6486,6695,558,0.00064027
1523504417.19531894,0.06564032,7233,0.00081321,0.00000000,0,0.00000000,6695,6956,439,0.00069201
1523504417.29617596,0.06137044,7305,0.00139344,0.00000000,0,0.00000000,6732,6732,467,0.00067453
1523504417.39703608,0.04845936,7321,0.00066378,0.00000000,0,0.00000000,6732,6953,370,0.00068429
1523504417.49788094,0.04846954,7419,0.00061599,0.00000000,0,0.00000000,6953,7215,370,0.00068506
1523504417.59873891,0.04794911,7494,0.00066992,0.00000000,0,0.00000000,7215,7391,362,0.00071932
1523504417.69959688,0.06356686,7548,0.00083646,0.00000000,0,0.00000000,7391,7392,320,0.00071355
1523504417.80045390,0.03894787,5897,0.00058473,0.00000000,0,0.00000000,7392,7574,306,0.00064726
1523504417.90131402,0.04272492,5948,0.00052262,0.00000000,0,0.00000000,7574,7693,273,0.00123526
1523504418.00217390,0.05346808,6010,0.00049301,0.00000000,0,0.00000000,7693,7794,242,0.00065293
1523504418.10302901,0.04082143,6073,0.00053634,0.00000000,0,0.00000000,7794,7873,257,0.00069412
1523504418.20388699,0.03662337,6137,0.00054625,0.00000000,0,0.00000000,7873,7982,263,0.00057674
1523504418.30474496,0.05015147,6210,0.00050199,0.00000000,0,0.00000000,7982,8161,266,0.00061730
1523504418.40560389,0.04687861,6258,0.00046953,0.00000000,0,0.00000000,8161,8219,227,0.00055288
1523504418.50646210,0.04971779,6331,0.00078850,0.00000000,0,0.00000000,8219,8249,230,0.00056159
1523504418.60732102,0.04698486,6388,0.00098636,0.00000000,0,0.00000000,8072,8305,234,0.00052963
1523504418.70817900,0.06183681,6465,0.00033780,0.00000000,0,0.00000000,6870,7055,207,0.00057720
1523504418.80903792,0.04873746,6522,0.00036644,0.00000000,0,0.00000000,7055,7231,215,0.00053224
1523504418.90989804,0.04772268,6571,0.00035067,0.00000000,0,0.00000000,7231,7398,208,0.00058697
1523504419.01075506,0.05445829,6629,0.00031719,0.00000000,0,0.00000000,7398,7556,179,0.00054755
1523504419.11161304,0.05206773,6665,0.00034791,0.00000000,0,0.00000000,7556,7715,193,0.00063550
1523504419.21247005,0.04650035,6661,0.00034700,0.00000000,0,0.00000000,7715,7861,195,0.00056739
1523504419.31332994,0.05361232,6648,0.00035701,0.00000000,0,0.00000000,7861,7978,185,0.00061631
1523504419.41418791,0.06486534,6660,0.00038566,0.00000000,0,0.00000000,7978,8152,221,0.00056924
1523504419.51504707,0.04801749,6661,0.00035484,0.00000000,0,0.00000000,8152,8284,194,0.00062321
1523504419.61590505,0.05198530,6662,0.00040985,0.00000000,0,0.00000000,8284,8411,216,0.00065882
1523504419.71676612,0.05176718,6652,0.00041121,0.00000000,0,0.00000000,8411,8541,217,0.00060041
1523504419.81762505,0.06202262,6656,0.00042619,0.00000000,0,0.00000000,8541,8666,212,0.00061793
1523504419.91848111,0.04507493,6659,0.00035958,0.00000000,0,0.00000000,8666,8745,173,0.00066211
1523504420.01934195,0.04920883,6646,0.00040809,0.00000000,0,0.00000000,8745,8849,209,0.00061825
1523504420.12019610,0.07236959,6651,0.00040844,0.00000000,0,0.00000000,8849,8894,183,0.00063128
1523504420.22105408,0.04651845,6651,0.00038598,0.00000000,0,0.00000000,8894,8997,188,0.00058706
1523504420.32191706,0.05670461,6650,0.00041964,0.00000000,0,0.00000000,8997,9064,192,0.00062318
1523504420.42277098,0.04832802,6655,0.00040008,0.00000000,0,0.00000000,9064,9107,183,0.00066363
1523504420.52363110,0.04906419,6662,0.00046861,0.00000000,0,0.00000000,9107,9207,226,0.00063385
1523504420.62448907,0.04836983,6654,0.00046555,0.00000000,0,0.00000000,9207,9250,205,0.00061782
1523504420.72534609,0.05253173,6645,0.00057067,0.00000000,0,0.00000000,9250,9270,230,0.00061100
1523504420.82620406,0.05027875,6623,0.00050832,0.00000000,0,0.00000000,9270,9400,233,0.00066354
1523504420.92706299,0.06392864,6615,0.00053690,0.00000000,0,0.00000000,9400,9484,248,0.00060970
1523504421.02792001,0.04670057,6627,0.00051995,0.00000000,0,0.00000000,9484,9556,234,0.00060618
1523504421.12878489,0.04735017,6605,0.00072578,0.00000000,0,0.00000000,9556,9565,227,0.00062989
1523504421.22963810,0.06366762,6600,0.00058868,0.00000000,0,0.00000000,9565,9637,240,0.00069306
1523504421.33049607,0.04698732,6597,0.00057262,0.00000000,0,0.00000000,9637,9745,218,0.00062260
1523504421.43135405,0.03740547,6580,0.00044171,0.00000000,0,0.00000000,9745,9779,180,0.00064040
1523504421.53221512,0.04438940,6561,0.00039527,0.00000000,0,0.00000000,9779,9807,164,0.00064174
1523504421.63307190,0.03807413,6546,0.00035085,0.00000000,0,0.00000000,9807,9847,138,0.00062382
1523504421.73393106,0.05091765,6522,0.00038933,0.00000000,0,0.00000000,9847,9848,149,0.00065514
1523504421.83478904,0.04147957,6538,0.00040654,0.00000000,0,0.00000000,9848,9874,169,0.00097774
1523504421.93564796,0.04349851,6569,0.00045822,0.00000000,0,0.00000000,9874,9907,172,0.00075651
1523504422.03652000,0.05035518,6597,0.00044172,0.00000000,0,0.00000000,9907,9928,181,0.00095721
1523504422.13737607,0.04072125,6622,0.00041008,0.00000000,0,0.00000000,9928,9930,157,0.00093960
1523504422.23823690,0.04432291,6587,0.00040488,0.00000000,0,0.00000000,9930,9963,153,0.00082901
1523504422.33908701,0.04353446,6630,0.00038933,0.00000000,0,0.00000000,9963,10045,171,0.00095789
1523504422.43995309,0.04333430,6689,0.00038517,0.00000000,0,0.00000000,10045,10059,136,0.00062064
1523504422.54080892,0.04712023,6789,0.00046246,0.00000000,0,0.00000000,10059,10046,173,0.00061974
1523504422.64166093,0.04815884,6862,0.00032360,0.00000000,0,0.00000000,10046,10121,144,0.00062859
1523504422.74252510,0.04794976,6949,0.00046490,0.00000000,0,0.00000000,10121,10137,180,0.00300961
